material_id,название,категория 1,категория 2,категория 3
1,варочная поверхность,бытовая техника,встраиваемая техника,
2,вытяжка,бытовая техника,встраиваемая техника,
3,духовой шкаф,бытовая техника,встраиваемая техника,
4,посудомойка,бытовая техника,крупногабаритная техника,
5,стиральная машина,бытовая техника,крупногабаритная техника,
6,холодильник,бытовая техника,крупногабаритная техника,
7,микроволновая печь,бытовая техника,мелкая бытовая техника,
8,робот пылесос,бытовая техника,мелкая бытовая техника,
9,тостер,бытовая техника,мелкая бытовая техника,
10,чайник,бытовая техника,мелкая бытовая техника,
11,телевизор,бытовая техника,"ТВ, аудио, видео",
12,стремянка,все для дома,лестницы,
13,мешок,все для дома,"садовые ящики, корзины, мешки",
14,сушилки,все для дома,сушилки,
15,ведро,все для дома,хозяйственные товары,
16,таз,все для дома,хозяйственные товары,
17,труба гофра,все для дома,хозяйственные товары,
18,веник,все для дома,щетки,
19,дверные ручки,двери,,
20,доборы,двери,,
21,задвижка на замок,двери,,
22,комплект дверей,двери,,
23,монтажный комплект,двери,,
24,накладка на замок,двери,,
25,наличник,двери,,
26,откосы дверей,двери,,
27,полотно,двери,,
28,стопор,двери,,
29,москитные сетки ,декор,декор окон,
30,накладка торцевая для подоконника,декор,декор окон,
31,подоконник,декор,декор окон,
32,галтели,декор,декор стен,
33,валики,инструменты,малярный инструмент,
34,губка шлифовальная,инструменты,малярный инструмент,
35,доска шлифовальная,инструменты,малярный инструмент,
36,кисти,инструменты,малярный инструмент,
37,нож,инструменты,малярный инструмент,
38,перчатки,инструменты,малярный инструмент,
39,рукоятка валика,инструменты,малярный инструмент,
40,скотч бумажный,инструменты,малярный инструмент,
41,телескопическая удочка для валика,инструменты,малярный инструмент,
42,шпатель,инструменты,малярный инструмент,
43,бур,инструменты,расходные материалы,
44,диски,инструменты,расходные материалы,
45,лезвие,инструменты,расходные материалы,
46,порошок разметочный,инструменты,ручной инструмент,
47,правило,инструменты,ручной инструмент,
48,шнур разметочный,инструменты,ручной инструмент,
49,пистолет для пены,инструменты,электоро-пневмо инструменты,
50,пистолет для силикона,инструменты,электоро-пневмо инструменты,
51,кафель,кафель,,
52,керамогранит,кафель,,
53,люки под кафель,кафель,,
54,анкер,крепеж,анкера,
55,анкер клин,крепеж,анкера,
56,изолента,крепеж,"заглушки, ленты, наклейки",
57,серпянка мако,крепеж,"заглушки, ленты, наклейки",
58,зонтики для утеплителя,крепеж,зонтики,
59,клипса,крепеж,клипсы,
60,ворота для кафеля СВП,крепеж,крестики для кафеля,
61,клин для кафеля СВП,крепеж,крестики для кафеля,
62,кронштейны,крепеж,"кронштейны, держатели, уголки",
63,угол,крепеж,"кронштейны, держатели, уголки",
64,угол под штукатурку перфорированный,крепеж,"кронштейны, держатели, уголки",
65,шина для кронштейнов,крепеж,"кронштейны, держатели, уголки",
66,саморезы,крепеж,"саморезы, шурупы",
67,шуруп,крепеж,"саморезы, шурупы",
68,хомут,крепеж,хомуты,
69,краска водоэмульсионная,"лаки, краски, клей",водоэмульсии,
70,герметик,"лаки, краски, клей",герметик,
71,силикон,"лаки, краски, клей",герметик,
72,грунтовка,"лаки, краски, клей",грунтовки,
73,мастика,"лаки, краски, клей",грунтовки,
74,клей AkFix 705,"лаки, краски, клей",клей,
75,клей для стеклохолста,"лаки, краски, клей",клей,
76,клей жидкие гвозди POINT 96,"лаки, краски, клей",клей,
77,колер,"лаки, краски, клей",колер,
78,пена монтажная,"лаки, краски, клей",пена монтажная,
79,пена-клей,"лаки, краски, клей",пена монтажная,
80,газовые лифты,мебель,,
81,зеркало,мебель,,
82,кухонный гарнитур,мебель,,
83,ножки,мебель,,
84,стол,мебель,,
85,стулья,мебель,,
86,тумба под раковину ,мебель,,
87,шкаф,мебель,,
88,ламинат,покрытия для пола,,
89,пленка,покрытия для пола,,
90,плинтусы,покрытия для пола,,
91,подложка,покрытия для пола,,
92,натяжной потолок,потолок,,
93,нить,сантехника,аксессуары,
94,прокладки,сантехника,аксессуары,
95,фум лента,сантехника,аксессуары,
96,ванны,сантехника,ванны,
97,инсталляции,сантехника,инсталляции,
98,мойка кухонная,сантехника,мойка кухонная,
99,полотенцесушители,сантехника,полотенцесушители,
100,раковина,сантехника,раковина,
101,сидения для унитаза,сантехника,сидения для унитаза,
102,вентилятор вытяжной,сантехника,системы вентиляционные,
103,гофра,сантехника,системы вентиляционные,
104,сифон,сантехника,"сифоны, обвязка",
105,гигиенический душ ,сантехника,смесители,
106,смесители,сантехника,смесители,
107,заглушка,сантехника,"трубы, фитинги, краны",
108,кран,сантехника,"трубы, фитинги, краны",
109,кранник,сантехника,"трубы, фитинги, краны",
110,крестовина,сантехника,"трубы, фитинги, краны",
111,отвод,сантехника,"трубы, фитинги, краны",
112,переходник,сантехника,"трубы, фитинги, краны",
113,тройник,сантехника,"трубы, фитинги, краны",
114,трубы,сантехника,"трубы, фитинги, краны",
115,фитинг,сантехника,"трубы, фитинги, краны",
116,шланг,сантехника,"трубы, фитинги, краны",
117,унитазы,сантехника,унитазы,
118,гипсокартон,строительные материалы,материалы,листовые материалы
119,гипсокартон влагостойкий,строительные материалы,материалы,листовые материалы
120,подвес,строительные материалы,материалы,"профиль, уголки"
121,профиль маячок,строительные материалы,материалы,"профиль, уголки"
122,профиль направляющий под гкл,строительные материалы,материалы,"профиль, уголки"
123,стеклохолст,строительные материалы,материалы,сетки
124,клей,строительные материалы,"смеси, растворы",клеевые смеси
125,наливной пол экопол,строительные материалы,"смеси, растворы",самовыравнивающиеся смеси
126,стяжка для полов,строительные материалы,"смеси, растворы",самовыравнивающиеся смеси
127,шпатлевка knauf гипсовая фуниверсальная фуген,строительные материалы,"смеси, растворы",шпатлевки
128,шпатлевка гипсовая,строительные материалы,"смеси, растворы",шпатлевки
129,шпатлевка финишная,строительные материалы,"смеси, растворы",шпатлевки
130,декоративная штукатурка,строительные материалы,"смеси, растворы","штукатурки, гипс"
131,штукатурка гипсовая,строительные материалы,"смеси, растворы","штукатурки, гипс"
132,плита теплоизоляционная,строительные материалы,материалы,листовые материалы
133,доставка,услуги,,
134,перевозка мебели,услуги,,
135,подключение бытовой техники,услуги,,
136,разгрузка мебели,услуги,,
137,ремонт домофона,услуги,,
138,ремонтные работы,услуги,,
139,сборка мебели,услуги,,
140,узаконить перепланировку,услуги,,
141,установка освещения,услуги,,
142,установка сантехники в ванной,услуги,,
143,установка телевизоров,услуги,,
144,лампа,электротовары,лампы,
145,коробка,электротовары,распредкоробки,
146,подрозетник,электротовары,распредкоробки,
147,щит вайфай,электротовары,щит для модема вайфай,
148,зажим изолирующий СИЗ,электротовары,электрические комплектующие,
149,патрон,электротовары,электрические комплектующие,
150,автомат,электротовары,автомат выключатели,
151,кабель UTP,электротовары,кабели,
152,кабель ввг,электротовары,кабели,
153,люстра,электротовары,освещение,
154,споты,электротовары,освещение,
155,трек,электротовары,освещение,
156,выключатели,электротовары,"розетки, выключатели, рамки",
157,выключатель проходной,электротовары,"розетки, выключатели, рамки",
158,розетки,электротовары,"розетки, выключатели, рамки",
159,другое,другое,,
